quote,name,date
"Digital Humanities sits on the crossing vertices of genuine interdisciplinarity, continual emergence of new practices, seeking of fresh research questions and open communication.","Simon Tanner","2012-01-01"
"DH brings together ICT-based methods, tools, and digital data with traditional Humanities’ methods and research objects to support the exploration of old Humanities’ quests as well as to discover new access paths to the yet unknown and unthinkable. DH brings up young scholars in the Humanities thinking and acting collaboratively on a global level.","Christiane","2012-01-01"
"Um ... anything in the humanities that has a digital aspect","Alastair Dunning","2012-01-01"
"Digital Humanities are Humanities enhanced by information technology on all possible levels.","Ulrike Henny","2012-01-01"
"As a designer attached to a department of academics I wouldn't even start.","David Little","2012-01-01"
"I'm looking on DH from a Humanities view. I think the DH should be part of the 'traditional' Humanities not part from it. We are using new methods and perhaps aks new questions in a new way but at least we are Humanists.","andrearapp","2012-01-01"
"Creative, critical, and technical work engaging with present-day and emerging technologies, and inspired by or extending traditional liberal-arts studies.","Tim McCormick","2012-01-01"
"Combination of the humanities with IT and all the latest technologies in a museum, archival and research context.","Annette Strauch","2012-01-01"
"Using digital tools to create a deeper understanding of the humanities.","kevin gunn","2012-01-01"
"Researching, teaching, creating and interacting at the nexus of the digital and the humanities.","Donna Maria Alexander","2012-01-01"
"Translocal, transmedia, transgender global convergence between innovation, sustainability and human rights.","Gilson Schwartz","2012-01-01"
"I don't, I use and develop computational tools for humanities research.","Travis Brown","2012-01-01"
"The stuff humanities people do when they get a computer.","Daniel Hooper","2012-01-01"
"Activities in humanities-related disciplines which involve a significant amount of research computing ( in e.g. resource creation, annotation, analysis, data visualization, etc.)","eiamjw","2012-01-01"
"I define the Digital Humanities very narrowly, so that _I_ belong, but _you_ don't.","Ben Brumfield","2012-01-01"
"I don't.","Dave Jones","2012-01-01"
"The use of digital media and tools to answer traditional humanities questions, and the study of new questions that are formed by the intersection of modern methods/tools/models and humanitistic sources.","Laurie Allen","2012-01-01"
"The creation and critical application of digital technologies to develop scholarly communities and further humanistic knowledge.","Jason M Kelly","2012-01-01"
"Transformation of humanities research, teaching, and representation through the use of digital tools and methods. Also, transdisciplinary modes of inquiry facilitated by the digitally-assisted breakdown of disciplinary boundaries often dependent upon physical and formal constraints as manifested in analog experience.","Victoria Szabo","2012-01-01"
"I don't. I prefer to splash around.","Joanna O'Connell","2012-01-01"
"I don't have a definition yet--that's why I'm here. I'm interested in exploring new ways digital/social media can intersect with our work in the Humanities.","Anne Jamison","2012-01-01"
"Digital humanities is a field that uses contemporary technology - and imagines and creates new technologies - to learn and teach about culture.","Joan Fragaszy Troyano","2012-01-01"
"Technology and computing are used to reexamine traditional humanities research and explore new modes of scholarship.","Timothy Lepczyk","2012-01-01"
"Digital Humanities is a broad, creative, interdisciplinary field that brings together quantitative analysis and the humanities. This incorporates not just text analysis, but visual imaging and design (what I'm interested in), community collaboration, and scholarship across the continents.","Emma Millon","2012-01-01"
"DH scholarship is not merely the content of traditional humanistic scholarship translated into new media nor the methods of traditional humanistic scholarship transferred to new content. It is the synthesis of traditional humanistic inquiry and computing technologies by which such inquiry is expanded and deepened in ways it could not have been without that technology. (http://blogs.tamu.edu/kdavis/2012/01/30/plato-was-not-a-digital-humanist-and-neither-am-i/)","Karen Davis","2012-01-01"
"Making technology humane.","Tressie","2012-01-01"
"the essentially collaborative application of engineering-type solutions to human-type problems","Jennifer Edmond","2012-01-01"
"Scholars and students of Digital Humanities explore the benefits computing tools, applications, and softwares offer the field of Humanities. Whether philosophical or pragmatic or both, Digital Humanists are the future of Liberal Arts programs everywhere.","Jasmine Mulliken","2012-01-01"
"I define digital humanities as being an open field that encompasses both studying texts that are created and read in digital spaces; and the use of digital tools to study non-digital texts, i.e., 18th century lit.","Paige Morgan","2012-01-01"
"The intersection of new computational approaches to traditional humanistic scholarship.","Glenn Roe","2012-01-01"
"what they said ... because really, it is. i don't have a new spin on the definition. and yet can do better despite Melissa Terras' plea in her keynote for DH 2010 to move away from 'the intersection of.' to me it is not an elusive thing, this digital humanities. it is part of my job as a librarian. the happy part i might add. and i strive to welcome folks who want to get their feet wet and challenge myself to learn more when partnering with the wizards.","Michelle Dalmau","2012-01-01"
"I study digital culture, practice information architecture, and teach both. My definition comes at this intersection between academic research and industry practice.","Liza Potts","2012-01-01"
"I conceive digital humanities in two levels, one as a powerful tool to performed complex analysis, in my particular case, of literary and cultural phenomena. There are a lot tools that can help to unveil relations hidden in huge corpus of information. In the other hand, having the ability to develop those tools and even create digital objects as such is the other level. Digital humanities are a new paradigm that allows us to embedded different views and possibilities.","Manuel Sánchez","2012-01-01"
"The use of (innovative) digital technologies in the humanities to allow for research and education otherwise not possible","Saskia Scheltjens","2012-01-01"
"The emergence of traditional humanities into the future of technology.","Kelly Martinette","2012-01-01"
"The study of digital culture; a collaborative praxis; the intersection of computing with the questions of the humanities; challenging; exciting; fluid.","Katherine McSharry","2012-01-01"
"It's beyond interdisciplinary--it's a new ecosystem that includes scholars, librarians, archivists, computer scientists, graphic designers, administrators, students, teachers, granting agencies (public and private), and anyone else interested in promoting humanistic ways of experiencing digital media (or digital ways of experiencing the humanities).","Edward Whitley","2012-01-01"
"DH allows theoretical and practical disciplines come together and create something new...","mohammed","2012-01-01"
"Is just plain Humanities using Digital tools.","Javier de la Rosa","2012-01-01"
"Give me a break. I'm still working on defining humanities but have been using digital tools in that quest since before DH had a name. Ask me again later.","Vanessa Vaile","2012-01-01"
"Using digital resources, methods and tools to do good transformative humanities research","lorna hughes","2012-01-01"
"To me digital humanities is not adding computing to traditional humanities subjects; it is rethinking our subjects and core activities (teaching, scholarship) as the new communications media take us to new questions, new modes of creativity, and new connections among people and ideas.","Gideon Burton","2012-01-01"
"Digital Humanities can be defined as the contemporary phase of the humanities that tackles to fathom, apply--and make sense of--the emerging digital globalization of society.","Xavier Gamboa","2012-01-01"
"A skin of modernization on the traditional humanities.","Johan Soriao","2012-01-01"
"A community of practice for humanists who are (1) inventing a new medium of scholarly and educational discourse by exploiting the powerful affordances of the digital medium and (2) critically reflecting upon the process of media innovation.","Janet H. Murray","2012-01-01"
"Computer aided social science.","Benjamin Vis","2012-01-01"
"With great difficulty. Under duress, the intersection between the humanities and computation with exciting results.","Sinéad Moloney","2012-01-01"
"I define Digital Humanities as the re-figuring of computing, a historically positivist field, in order to pose and answer the more speculative questions typical of the humanities. Of late I have been considering the difference between Digital Humanities (which seems to centre on humanities inquiry) and humanities computing (which focuses on the intersection of humanities with computer as a material object).","Constance Crompton","2012-01-01"
"The Digital Humanities are a community of scholars who support, facilitate, and engage in using technology to augment the practice of traditional humanities research.","Kristin Cornelius","2012-01-01"
"DH are part of the Humanities. Humanists ask research questions. From time to time it makes sense to answer them by using digital means and methods. It's not a decision between digital or analog. Digital Humanities has to match with scope and focus of the research project","thomas","2012-01-01"
"Anything a Humanities scholar does that is mediated digitally, especially when such mediation opens discussion beyond a small circle of academic specialists.","David Wacks","2011-01-01"
"Developing tools and workflows to create comprehensive, interoperable, and innovative digital resources.","Jennifer Stertzer","2011-01-01"
"Humanities gone digital and vice versa","Anna Caprarelli","2011-01-01"
"In SpecLab (2009), Johanna Drucker explains that the digital humanities does not simply entail 'the creation of new electronic environments for access to traditional or born-digital materials. It is the study of ways of thinking differently about how we know what we know, and how the interpretive task of the humanist is redefined in these changed conditions' (xii). What resonates with me about Drucker’s definition is how she conceives of DH both in terms of its epistemological function, and in terms of its function for us as critics—and I will add to her definition, as teachers as well.","Lauren Klein","2011-01-01"
"Une pratique réflexive des outils numériques en sciences humaines et sociales.","Björn-Olav Dozo","2011-01-01"
"I wouldn't dare! I'm interested in how the definition is evolving. I'm more interested in the variety of methods employed in the digital humanities. And I'm most interested in the results and interpretation of research and scholarship in the digital humanities.","Jon Christensen","2011-01-01"
"Dare I try such a thing when the debate seems to continue on?! I'm still on the quest to find my personal definition of DH. When I find one, I'll let you know.","Susan Rojo","2011-01-01"
"Digital Humanities is in its simplest form conducting humanities research with the help of a computer whether it is visualizations or text analysis.  Digital Humanities can also include combining our expertise of computing and programming with the humanities to complete web based projects or other projects that require some programming knowledge.","Ashley Moroz","2011-01-01"
"Humanities research based on Digital Data and the Internet.","Kozaburo Hachimura","2011-01-01"
"DH stands for a wide variety of disparate practices, methodologies, and ways of communicating that take advantage of technology in order to enable and encourage the act of thinking deeply and critically about life.  From this perspective, DH is the name given to the work of the most open-minded and courageous humanists working today.","Stewart Varner","2011-01-01"
"I think of digital humanities as an umbrella term that covers a wide variety of digital work in the humanities: development of multimedia pedagogies and scholarship, designing & building tools, human computer interaction, designing & building archives, etc. DH is interdisciplinary; by necessity it breaks down boundaries between disciplines at the local (e.g., English and history) and global (e.g., humanities and computer sciences) levels.","Kathie Gossett","2011-01-01"
"I see 'Digital Humanities' as an umbrella term for two different but related developments:1) Humanities Computing (the specialist use of computing technology to undertake Humanities research) and 2) the implications for the Humanities of the social revolution created by ubiquitous computing and online access. Since the late Noughties the latter seems to have become the driving force in DH with responsibility for much of the 'boom' in public interest and funding.","Leif Isaksen","2011-01-01"
"A 'community of practice' (to borrow Etienne Wenger's phrase) whereby the learning, construction and sharing of humanities knowledge is undertaken with the application of digital technologies in a reflexive, theoretically-informed, and collaborative manner.","Kathryn E. Piquette","2011-01-01"
"Digital humanities is a constantly evolving discipline based on scholarship and pedagogy derived from the intersection of computing and technology with traditional humanities education and field of study.","James Neal","2011-01-01"
"A name that marks a moment of transition; the current name for humanities inquiry driven by or dependent on computers or digitally born objects of study; a temporary epithet for what will eventually be called merely Humanities.","Mark Marino","2011-01-01"
"One of those moments where the rest of the world and Humanities collide.  Digital Humanities is an opportunity for the Humanities to explore the immense possibilities that the technologies of today can support (and I tentatively suggest, improve) the way in which identification, collection, interpretation, and dissemination of data happens in our field.","Nicole Smith","2011-01-01"
"Digital Humanities for me is the way that we can collaborate and share online, all over the world, bringing to life again the old stories while creating new stories of our own, in words and in images.","Laura Gibbs","2011-01-01"
"We use 'digital humanities' as an umbrella term for a number of different activities that surround technology and humanities scholarship. Under the digital humanities rubric, I would include topics like open access to materials, intellectual property rights, tool development, digital libraries, data mining, born-digital preservation, multimedia publication, visualization, GIS, digital reconstruction, study of the impact of technology on numerous fields, technology for teaching and learning, sustainability models, and many others.","Brett Bobley","2011-01-01"
"Using computational tools to do the work of the humanities.","John Unsworth","2011-01-01"
"Where the English department surrenders to the Media Arts department under the conditions that they remain in charge of what storytelling means in the 21st century. Hehe. Just kidding. The merging of Literature, Media Arts and other schools of storytelling and criticism into an emergent network that benefits from history but lacks the downside and fixed ideas of entrenched interests be it in the classroom, the boardroom or copyright office. This is an attempt to cast a wider net to include social media and the democratization of media production into the literary cannon complete with thoughtful and insightful analysis and scholarly study and reportage. Literature department walls become osmotic membranes and connecting tissue between liberal arts scholarship in academia, art, technology and social media content producers. DH is a conceptual location where good ideas, best practices and innovation is encouraged. Transdisciplinarity is the new DH Norm. DH is a network aggregate university. While individual universities are slow to change, the networked body consisting of DH individuals from many different universities can combine to evolve an educational ecosystem that thrives on change, embraces technology, plurality and open doors, while benefitting from the support of traditional educational organization.","DC Spensley","2011-01-01"
"Opening up new knowledge and new ways of learning through the application of digital technologies to any humanities subject.","Daisy Abbott","2011-01-01"
"Digital Humanities is an academic field self-reflexively looking at the application of digital technology to humanities fields of enquiry.","James Cummings, University of Oxford, United Kingdom","2011-01-01"
"Charting and exploring the interface of computing and the Humanities to ask and answer all kinds of questions about what it means to be Human and how computing can help us to interpret that","Julianne Nyhan","2011-01-01"
"I would say there are five branches in the Digital Humanities: 1) Computing in the Humanities 2) History of Computing and Information systems 3) Digital Publishing and Scholarly Communication 4) Digital Archiving 5) Epistemological Thinking about Humanities and the digital Turn.","Enrico Natale","2011-01-01"
"For me, DH is about creating digital toolsets that allow users to undertake new forms of research in the humanities. Just as importantly, it's about making sure we build a deeper understanding of what's changing in the wider world as digital content and interactions become central to our personal and professional endeavours.","Paul Gooding","2011-01-01"
"I do my small part to define it through my work as a humanist--by bringing traditional questions about values, norms, and the role of education to bear on the changing landscape of human expression, communication, and production.","Mark Fisher","2011-01-01"
"using computers to study text; studying digital text; studying on-line materias with a concern for the human condition","Eleni Stroulia","2011-01-01"
"The study of the role of technology in helping to structure the work of writers and writing contexts.","Stuart Selber","2011-01-01"
"I define Digital Humanities as the re-figuring of computing, a historically positivist field, in order to pose and answer the more speculative questions typical of the humanities.","Constance Crompton","2011-01-01"
"I do my small part to define it through my work as a humanist--by bringing traditional questions about values, norms, and the role of education to bear on the changing landscape of human expression, communication, and production.","Mark Fisher","2011-01-01"
"I don't. But for the time being I do focus on issues of large-scale connectivity between diverse forms of digital scholarship and evidence as mediated through the public availability of both.","Sebastian Heath","2011-01-01"
"I view the digital humanities as a collaborative, open, and emerging field of inquiry. A state of mind, a methodology, and theoretical approach to knowledge, I embrace how it forces us to reconceive our practice. In my own work, I embrace curation, as a means of reweaving and reintegrating theory and practice in history. I seek to interpret space, place, and identity in a multi-sensory way. I fail more often than not. But the digital humanities is like jazz in that it is about process, as well as out outcome.","Mark Tebeau","2011-01-01"
"My definition of Digital Humanities is the creative analysis, synthesis and presentation of information (both print and non-print) in digital environment. Digital humanities investigate how digital media affect the disciplines in which they are used. In practice, we are constantly redefining not only the concept of humanities computing but also of computing itself. In this manner, we come to understand how these disciplines when recalibrated for a digital environment contribute to our knowledge of computing; we also come to understand how computing changes the way we acquire knowledge and experience affect.","Theodoros Chiotis","2011-01-01"
"Digital Humanities is the application of humanities methodologies and theories to modern technology research.","Andy Keenan","2011-01-01"
"The use of digital technologies to support humanists in their scholarship activities. Moreover humanists are expected to contribute to the perfection of existing digital tools by providing ideas and functional requirements that those tools need to possess.","Mohamadou Nassourou","2011-01-01"
"The use of technology for supporting long term digital preservation of the human record, and enabling innovative methods for accessing it. The creation of digital infrastructure to support the work of researchers and scholars in the humanities. It also involves the development of computing approaches to humanities disciplines, mutually enriching humanities and computer scientists. In my opinion, Nicholas Negroponte, (MIT Media Lab co-founder), eloquently captures the scope of DH by stating: Computing is not about computers anymore. It is about living.","Carlos Monroy","2011-01-01"
"Interconnectivity: text, image, space-time.","Carolyn Guertin","2011-01-01"
"Production of knowledge in forms not limited to traditional (e.g. pre-electronic) media.","Trysh Travis","2011-01-01"
"The Digital Humanities represents an exciting integration of technology and textual culture. There is an increasing need to recognise the culturally productive synthesis represented in the label 'Digital Humanities' and to understand the immense propensity for inclusivity which results from this union. My understanding of the area, though basic and developing, recognises the need for the universal engagement with the positive possibilities for the increased accessibility of information through the Digital Humanities, while also being mindful of the need to preserve the foundations of our humanities.","Bairbre Walsh","2011-01-01"
"An area of study that focuses on the digital in our daily lives--how we study, think, and interact.","Pollyanna Macchiano","2011-01-01"
"Process of modeling, inserting raw information available through books, journals and other resources into a database and visualizing it to the user.","Seyed Mirtaheri","2011-01-01"
"Quickly evolving interdisciplinary activity that not only transfers to digital media but also radically extends the potential uses and impacts of texts, cultural objects and other data.","Paris O'Donnell","2011-01-01"
"Digital Humanities is the informed and intentional use of digital objects and practices to create and study in the humanities, broadly defined. In that sense, it is a specialization that cuts across disciplinary boundaries to the work of digital humanists in other disciplines. It is also the insistence that the humanities comes to understand the implications of its assumption that only print technologies exist, and it is the insistence that the humanities learns that no technology is invisible, natural, or inevitable, and that someday all humanists will be digital. A few will specialize in print, chirographic or oral-culture humanities.","Sharon Cogdill","2011-01-01"
"I think digital humanities, like social media, is an idea that will increasingly become invisible as new methods and platforms move from being widely used to being ubiquitous. For now, digital humanities defines the overlap between humanities research and digital tools. But the humanities are the study of cultural life, and our cultural life will soon be inextricably bound up with digital media.","Ed Finn","2011-01-01"
"For me, 'DH' is an umbrella term for some recent trends in the humanities: amongst others collaborative working and writing, data driven research and visualization. Very often the current discussions on DH are discussions of delimitations and demarcations. One of the main questions is - imho - if DH should be either an integrated part of the humanities or else be some kind of an auxiliary discipline (in the field of History, in German we have the expression 'Historische Hilfswissenschaften').","Peter Haber","2011-01-01"
"Digital Humanities involves the effort to consider how our human capabilities and capacities are developing, or being challenged, by and through digital media.  Those scholars and practitioners who locate themselves within digital humanities view themselves as interdisciplinary collaborators who want to work together to enhance opportunities for individuals and groups traditionally marginalized from the centers of power. We therefore see our task as a critical and productive one, pressing back against the tides of efficiency and busyness that are leading people to view themselves merely as earners and consumers rather than as human creators and participants.","Lynn Schofield Clark","2011-01-01"
"I don't know that defining digital humanities has any useful purpose, though the act of defining marks digital humanities with the attribute of scholarly inquiry. A humanist with an interest in digital things is, I hope, still a humanist, one who defines the self by interest in varieties of human expression. If one's interest is digital things, then one must achieve some form of digital literacy to do useful scholarly things. If one's interest is humanities, one must think about how digital technology reshapes one's interaction with traditional---and new---objects of humanist studies.","Wesley Raabe","2011-01-01"
"I would define it as the  intersection between computing technologies and research and teaching in the humanities. Influnced by web technologies, it also promotes collaborative approaches to scholarship.","Alexandra  Guerson","2011-01-01"
"using digital means to find out about/publish about stuff that people do.","Quentin Kean","2011-01-01"
"Creating and applying digital function to humanities research and pedagogy","Diane Jakacki","2011-01-01"
"Digital Humanities for me is a broad area that contains (1) ICT as a tool for research, teaching and studying and (2) ICT as a subject for humanities research.","Tanja Välisalo","2011-01-01"
"I let two very different sources define DH for me: A field of study, research, teaching, and invention concerned with the intersection of computing and the disciplines of the humanities. (Wikipedia) and The digital humanities are just the humanities of the present moment. (Alex Reid: http://www.alex-reid.net/). I find those two definitions - one very inclusive and dry, and the other thought-provoking but equally inclusive - to be productive and useful. To work in DH is to be curious about the intersection of digital media and humanities research.","Maria Engberg","2011-01-01"
"Digital humanities is the application of digital tools and processes to the study of humanities disciplines resulting in new efficiencies and new discoveries that are not obtainable in the analog world.","Sue Perdue","2011-01-01"
"A term of tactical convenience.","Matthew Kirschenbaum","2011-01-01"
"I try not to.","Willard McCarty","2011-01-01"
"The advent of digital technologies is changing and challenging the ways historians practice their craft. The way we collect, present, and store information has changed rapidly in the last twenty years. Digital history is several things: a methodology meant to aid the traditional art and practice of historians, the use of digital tools to gain insight into information that cannot be done with a legal pad and pen, allows historians to disseminate and present their information in new ways, and a means to reach wide audiences through digital technologies. The goal isn’t cliometrics 2.0 or to augment the theory-driven social sciences, but to abide by the historian's commitment to complexity and nuance while utilizing digital technologies to aid that task.","Jason Heppler","2011-01-01"
"Humanities is humanities, digital or not -- the study of literature, fine arts, history, language, and philosophy.  We don't distinguish digital sociology or digital astronomy, so why digital humanities?  Just because computers are involved doesn't mean the basic nature of the subject area is any different than it has been been traditionally.   Computers allow for doing things with texts and other cultural artifacts that could not be done feasibly without the computational power and storage modern computers provide.   Computers should be considered an extension of the scholar's mind -- very useful tools indeed.","Philip R. Pib Burns","2011-01-01"
"It is both a methodology and a community.","Jason Farman","2011-01-01"
"I define Digital Humanities as the next evolution of the College of Humanities and Social Science.  The root word of Humanities is human, and encapsulates all of man in an organic or digital realm serves a purpose for historians and other researchers.","Albert D. Ybarra","2011-01-01"
"A delimiting hiatus (an anagram of 'digital humanities')","Richard Edwards","2011-01-01"
"A nome de guerre.","Matthew Steven Carlos","2011-01-01"
"It is the use of digital technologies to assist people working in the Humanities in ways unimaginable to re-discover the meaning of life (!) in this digital age.","Vu Thi Phuong Anh","2011-01-01"
"When I'm asked, I like to say that digital humanities is just one method for doing humanistic inquiry.","Brian Croxall, Emory University, USA","2011-01-01"
"The digital humanities is whatever we make it to be.","George H. Williams","2011-01-01"
"The Digital Humanities is both a field with a discernable set of academic lineages, practices, and methodologies, and a vague umbrella term used to describe the application of digital technology to traditional humanistic inquiry. Ultimately, what sets DH apart from many other humanities fields is its methodological commitment to building things as a way of knowing.","Matthew K. Gold","2011-01-01"
"something borrowed, something new...","Brad Brace","2011-01-01"
"The digital humanities, quite simply, is doing humanities work with digital media. Though much has been made about digital media, like video games, threatening the kind of book learning that humanists do, many of the same critical problems and questions we have been working on for centuries still apply and can be used to read these new media forms. Furthermore, these digital tools can be leveraged to help us do this kind of intellectual labor. So digital humanities includes both doing humanities on digital objects and using digital objects to do humanities.","Timothy Welsh","2011-01-01"
"DH is all about freedom.  Humanity is the producing animal (Marx) or the symbol-using animal (Kenneth Burke).   The humanities have always studied what people create in the realm of freedom.  The whole point of putting things in the digital realm is the freedom it gives us, to turn the physical into symbols that we can manipulate as freely as in a video game.   You might not find anyone in the academy more concerned with freedom than digital humanists.","Alan Bilansky","2011-01-01"
"The use of information technology and software with humanities source materials to pursue research questions.","Elizabeth McAulay","2011-01-01"
"Digital humanities work is the activity of joining computation and humanistic thinking to create knowledge--interpretations, motivated collections, reasoned arguments, etc.","Miles Efron","2011-01-01"
"My idea of DH is that it's sort of like a highway oil slick on a sunny day. When you look at the slick, depending on the angle, you might get a psychedelic kaleidoscope of reflected colours; if you're lucky you might spot your reflection in it; then again, all you might see is darkness. And if you feel compelled to step in it, don't be surprised if you slip.  Those stains will not come out.","Eric Forcier","2011-01-01"
"If someone asks, I refer them to Matthew Kirschenbaum's What is Digital Humanities and What’s it Doing in English Departments? in the ADE Bulletin (2010). That said, I would emphasize the long tradition of humanities computing, going back to Roberto Busa's work at least---although I'm unsure how precisely it relates to the current frenzy of activity.","Allen Riddell","2011-01-01"
"Digital humanities is the intersection of work in the humanities (research, teaching, writing) with technology (tools, networks, interactions), when the practitioner is consciously exploring a humanistic subject and a technological method, at the same time.","Elli Mylonas","2011-01-01"
"Digital Humanities is the integration of sophisticated, empirical techniques utilizing tools and technologies typically associated with practical sciences into the study of traditional humanities questions.  It represents a more exploratory and less quantitative approach than social sciences in the use of such tools but it also represents ambitious attempts to model nuanced human wisdom in ways that, like early flying machines, are beautiful, quite impractical and often fail.","Elijah Meeks","2011-01-01"
"The application of computing technology to the humanities, *and* the critical investigation of the human use of this technology.","John Levin","2011-01-01"
"The digital humanities is a name claimed by a community of those interested in digital methodologies and/or content in the humanities.","Rebecca Davis","2011-01-01"
"Digital Humanities means taking full advantage of current and emerging technologies to support conceptualizations of learning history that stress developing inquiry skills, perspective taking and meaning making over the transmission textbook-driven model.",,"2011-01-01"
"Digital humanities, studies and resources, have the capacity to create social networks. Teachers and curators are able to take collections with them to students in remote locations.","Nancy Rubin","2011-01-01"
"DH combines established research methodologies in the Humanities with computational methods and new ways to disseminate digitally both data sets and research findings.  DH is more a community of practice than a specific set of methods and procedures.  Thus, DH encourages ongoing collaboration and its practitioners are committed to making Humanities research extensible (or at least they ought to be).  DH is by nature interdisciplinary and so provides a practical means to integrate research data and methodologies from more than just one humanities discipline.","James Ginther","2011-01-01"
"Digital Humanities is the deliberate, critical application of emerging technology to the study of traditional subjects such as literature, art, philosophy, and language, often (but not always) with a focus on how those traditional fields are now using emerging technology. We are deliberate and critical when we foreground the study of our own digital tools (for example, the forward-thinking digital humanist prefers the open-source tool to the proprietary one). We apply technology because we must participate in digital culture in order to understand it. Full participation in digital culture means contributing to (creating) the cultural economy, not simply observing (consuming).","Dennis Jerz","2011-01-01"
"Digital Humanities is the intersection of humanities studies with the digital world. This intersection just keeps getting bigger, as more people do more things digitally, and invent more ways that we can answer questions using computers.","Alice Hickcox","2011-01-01"
"My lawyer advises me not to answer this question. But I have written a few thoughts on my blog. http://www.stanford.edu/~mjockers/cgi-bin/drupal/node/43","Matthew Jockers","2011-01-01"
"DH is a multi-discipline through which criticism, analysis, and speculation is focused on the past, present, and future of the human condition.","Richard Cunningham","2011-01-01"
"Digital Humanities is a term that refers to materiality.  I am a writer and a digital artist which means that ultimately my material is language.  The digital half of digital humanities simply indicates how that language is executed.  Digital Humanities is not an obscure field.  It describes the art of the present by looking at new and familiar modes of representation.","Erin Costello","2011-01-01"
"Dan Cohen offers a fair definition (http://bit.ly/gVUpV7) with which I wholeheartedly agree. Of course, institutionally, it often makes more sense to describe it as a discipline (when offering a course in DH for example, or in organizing a conference) but I feel that these are rather more like contingent, not essential (if there can be such a thing) characterizations.","Arno Bosse","2011-01-01"
"Fairly broadly: the use of technology in communicating, discussing, thinking about the humanities.","Larry Swain","2011-01-01"
"The Digital Humanities is not just technology people and not just traditional humanistic scholars. It should include anyone interested in digital pedagogy and scholarship with a humanistic ethic. They might work under the hood, behind the technological screen or out front on the stage making it possible to collect and analyze the changing relationships of all agents involved in determining the human condition in the 21st century.","Dickie Selfe","2011-01-01"
"Digital Humanities is the acknowledgement that human creativity is, for the moment, deeply entangled with our technological tools and networks. The media extensions cannot be separated from our reality.","Anastasia Salter","2011-01-01"
"The democratization of knowledge through the application of digital technologies to the advancement of discourse in the humanities, broadly defined (and not restricted to the academy!).","Aden Nichols","2011-01-01"
"The use of digital tools and methods in humanities study and dissemination.","Geoffrey Rockwell","2011-01-01"
"The use of digital technologies to formulate innovative reseach questions in the humanities and to investigate in new ways the primary materials (text, image, sound. object) with which humanities scholars are concerned. A field of engagement in which technology, textuality and humanities converge.","Andrew Prescott","2011-01-01"
"The digital humanities is a blanket term for many different types of activities. For researchers, I believe it is a philosophy that there are answers to questions that cannot be answered without the aid of machines. For exhibitors, it is a belief that computers can be used to enhance the visitor experience. For all, it is an understanding that while our own minds may have limits, that need not limit what we can do or know.","Adam Crymble","2011-01-01"
"the application of information, computing, and communication technologies to humanities questions, problems, or data","Ethan Watrall","2011-01-01"
"Digital Humanities is the application of digital tools to the work of humanists and the creation of humanist works in the digital realm.  Its applications encompass research and teaching.","Aaron Gulyas","2011-01-01"
"For me, it's a number of different things. It might be humanistic research that incorporates digital tools, the act of building a digital archive or scholarly edition, finding new ways of displaying research or involving an audience in the research process, or building new tools for humanistic inquiry.","Miriam Posner","2011-01-01"
"DH is the umbrella that shelters critical hackers and theorists of the hack from the vitriol of analog hacks.","Alex Colibri","2011-01-01"
"The application of computing and web-based tools in Humanities research.","Anne Welsh","2011-01-01"
"Digital Humanities is, increasingly, just Humanities - as far as I'm concerned. New tools lead to new methodologies, new perspectives, and new questions that all humanists should be aware of and concerned with.","Benjamin Albritton","2011-01-01"
"I understand DH as the iterative design and application of digital research and teaching tools to meet the real-world needs of living, breathing humans. This could include students (I'll be working on a pilot digital writing assessment study that day) or cultural stakeholders (I'll also be working on a long-term project involving the design of a digital archive for cultural stakeholders).","Jim Ridolfo","2011-01-01"
"To borrow someone else's words, it's an intersection of technology and Humanities and uses the brains of people across disciplines. DH subsets (text mining, data mining, mashups) can allow scholarship to flourish in ways we never thought possible by adding quantitative value and allowing traditional scholars to find new patterns in their work which they may have otherwise missed.","Debbie Maron","2011-01-01"
"DH is inquiry enabled by digital methodologies or modes of research, dissemination, design, preservation, and communication that rely on algorithms, software, and or the internet network for processing data.","Tanya Clement","2011-01-01"
"Digital Humanities is what humanities will be in the future.  It is public, dialogical, collaborative and made of collectives.  It allows for remixing and re-imagining how we think and analyze traditional forms of knowledge creation, knowledge sharing and knowledge storage.","Jade E. Davis","2011-01-01"
"Using digital technologies and tools to ask questions, do research, hypothesize, and analyse, and present human cultural heritage.","Meagan Timney","2011-01-01"
"The study and practice of using technology for humanities-based research, teaching and collaboration.","Jana Remy","2011-01-01"
"At its core, the Digital Humanities is the use of digital tools to gather, organize, analyze, and present scholarly research in the humanities. Humanists seek to understand the world and cultures in which people live and have lived through a variety of disciplines including literature, English and other modern languages, philosophy, art, art history, and history. While many of the questions humanists seek to answer have not changed, new technology, like text mining, dynamic visualizations, and spatial analysis, provide humanists ways to ask new questions and view old questions differently.","Brian Sarnacki","2011-01-01"
"The Digital Humanities are awesome! We're seeing increased cross-pollination between fields like writing and science, literature and computers, history and engineering. Plus, there are so many new interactive tools that allow us to (re)discover ideas in a new way!","Kim Lacey","2011-01-01"
"Which is to say, I don't know what it is, but I know it when I see it...","Shawn Graham","2011-01-01"
